route_name,uri,http_methods,controller_class,controller_method,middleware_resolved,active_backoffice_present,mfa_backoffice_present,log_backoffice_present,role_middleware_active,role_middleware_excluded,permission_middleware,permission_catalog_exists,semantic_permission_available,permission_recommendation,permission_semantically_adequate,policy_class,policy_ability,policy_ability_source,form_request,form_request_authorize,feature_entitlement,feature_required,feature_key,municipality_source,municipal_record_scope,fail_closed_without_municipality,platform_route,municipal_route,mixed_context_route,record_model,operation_type,mfa_sensitive,audit_requirement,audit_implementation,private_data,bounded_context,bounded_context_label,target_sprint,risk,confidence,test_coverage,test_sources,source,migration_recommendation
backoffice.access-audit.index,backoffice/access-audit,GET,"App\Http\Controllers\Backoffice\Access\AccessAuditController",index,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,access_audit.view,0,,,missing,,none,,0,,authenticated_user,candidate,,0,1,0,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,medium,route_name_reference,tests/Feature/Security/InventoryBackofficeRoutesCommandTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|permission_catalog|existing_test_route_reference,remove_fixed_role;apply_permission:access_audit.view;preserve_active_mfa_log;add_http_security_tests
backoffice.security.alert-rules.store,backoffice/security/alert-rules,POST,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",storeAlertRule,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,"App\Http\Requests\StoreSecurityAlertRuleRequest",custom,,0,,authenticated_user,candidate,,0,1,0,,mutation,1,required,missing,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.alert-rules.update,backoffice/security/alert-rules/{securityAlertRule},PUT|PATCH,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",updateAlertRule,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\SecurityAlertRulePolicy",viewAny,inferred,"App\Http\Requests\UpdateSecurityAlertRuleRequest",inherited,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\SecurityAlertRule",mutation,1,required,missing,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.alerts.index,backoffice/security/alerts,GET,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",alerts,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,,none,,0,,authenticated_user,candidate,,0,1,0,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.alerts.resolve,backoffice/security/alerts/{securityAlert}/resolve,POST,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",resolveAlert,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\SecurityAlertPolicy",view,inferred,"App\Http\Requests\ResolveSecurityAlertRequest",custom,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\SecurityAlert",mutation,1,required,missing,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.alerts.review,backoffice/security/alerts/{securityAlert}/review,POST,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",reviewAlert,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\SecurityAlertPolicy",view,inferred,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\SecurityAlert",mutation,1,required,missing,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.audit.access-logs.index,backoffice/security/audit/access-logs,GET,"App\Http\Controllers\Backoffice\Security\AuditController",accessLogs,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,,none,,0,,authenticated_user,candidate,,0,1,0,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.audit.events.index,backoffice/security/audit/events,GET,"App\Http\Controllers\Backoffice\Security\AuditController",events,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,,none,,0,,authenticated_user,candidate,,0,1,0,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.audit.events.show,backoffice/security/audit/events/{auditEvent},GET,"App\Http\Controllers\Backoffice\Security\AuditController",event,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\AuditEventPolicy",view,inferred,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\AuditEvent",read,1,recommended,confirmed,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.audit.sensitive-logs.index,backoffice/security/audit/sensitive-logs,GET,"App\Http\Controllers\Backoffice\Security\AuditController",sensitiveLogs,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,,none,,0,,authenticated_user,candidate,,0,1,0,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
